Department,Organisation,Check Date,Expense type,Supplier,Invoice number,Invoice Amount,Postcode
DFI,Department for Infrastructure,23/07/2026,P - Contract Other Services,DRIVER & VEHICLE STANDARDS AGENCY,9322936166,"£76,657.38",SA7 0EA
DFI,Department for Infrastructure,23/07/2026,Fixed Asset Clearing Account,WHITEMOUNTAIN QUARRIES LTD,26453/54,"£53,023.42",BT36 4TZ
DFI,Department for Infrastructure,23/07/2026,P - Contract Roads,PETER FITZPATRICK LTD,6249,"£52,578.07",BT34 5TJ
DFI,Department for Infrastructure,23/07/2026,C - Managed Services,WSP GROUP,50148628,"£52,203.96",RG21 4HJ
DFI,Department for Infrastructure,23/07/2026,P - Contract Roads,FP MCCANN LTD,67435,"£49,058.57",BT45 8QA
DFI,Department for Infrastructure,23/07/2026,C - Contract Other Services,NORTHSTONE MATERIALS LIMITED,IE260198,"£37,415.44",BT17 9NU
DFI,Department for Infrastructure,24/07/2026,Grants to Public Corporations(PCs) (Capital),TRANSLINK*GRANTEE,ERS-DFI-EF00573765-ERS-967,"£3,272,020.00",BT3 9BG
DFI,Department for Infrastructure,24/07/2026,Cost Pass-Through Control,DEPARTMENT OF FINANCE,40048974,"£890,000.00",BT1 4NN
DFI,Department for Infrastructure,24/07/2026,Grants to Public Corporations(PCs) (Capital),TRANSLINK*GRANTEE,ERS-DFI-EF00573765-ERS-968,"£359,726.00",BT3 9BG
DFI,Department for Infrastructure,24/07/2026,Cost Pass-Through Control,SHANNON ROADMARKINGS LTD,BNJUN2026,"£178,118.10",BT11 9NP
DFI,DVA,24/07/2026,P - Contract Other Services,DRIVER AND VEHICLE LICENSING AGENCY,9321985177,"£69,427.96",SA7 0EA
DFI,Department for Infrastructure,24/07/2026,C - Contract Other Services,MID ULSTER DISTRICT COUNCIL,19772,"£60,000.00",BT45 6EN
DFI,Department for Infrastructure,24/07/2026,C - Managed Services,ATKINS REALIS UK LTD,50105569,"£39,954.71",WR5 1TX
DFI,Department for Infrastructure,24/07/2026,P - Procurement Costs,DEPARTMENT OF FINANCE,10088106,"£28,995.68",BT1 4NN
DFI,Department for Infrastructure,24/07/2026,C - Contract Other Services,FP MCCANN LTD,67464,"£25,674.98",BT45 8QA
DFI,Department for Infrastructure,24/07/2026,A - Managed Services - Technical,ATKINS REALIS UK LTD,50107412,"£25,041.45",WR5 1TX
DFI,Department for Infrastructure,27/07/2026,Cost Pass-Through Control,KEENAN P (CONTRACTOR),012-W1-2025,"£377,559.28",BT45 8QE
DFI,Department for Infrastructure,27/07/2026,C - Managed Services,ATKINS REALIS UK LTD,50107965,"£256,703.68",WR5 1TX
DFI,Department for Infrastructure,27/07/2026,P - Contract Roads,FP MCCANN LTD,67516,"£243,810.64",BT45 8QA
DFI,Department for Infrastructure,27/07/2026,C - Contract Other Services,FP MCCANN LTD,67506,"£206,647.63",BT45 8QA
DFI,Department for Infrastructure,27/07/2026,C - Contract Other Services,KEENAN P (CONTRACTOR),131-SSN1-2023,"£203,300.10",BT45 8QE
DFI,Department for Infrastructure,27/07/2026,P - Contract Roads,PETER FITZPATRICK LTD,6106,"£165,956.85",BT34 5TJ
DFI,Department for Infrastructure,27/07/2026,P - Contract Roads,PETER FITZPATRICK LTD,6254,"£43,922.16",BT34 5TJ
DFI,Department for Infrastructure,27/07/2026,C - Contract Other Services,KEENAN P (CONTRACTOR),132-SSN1-2023,"£40,052.51",BT45 8QE
DFI,Department for Infrastructure,27/07/2026,C - Contract Other Services,FP MCCANN LTD,67518,"£25,563.42",BT45 8QA
DFI,Department for Infrastructure,27/07/2026,C - Contract Other Services,PETER FITZPATRICK LTD,6106,"£6,378.17",BT34 5TJ
DFI,Department for Infrastructure,28/07/2026,Cost Pass-Through Control,KEENAN P (CONTRACTOR),021-SDW2,"£331,906.91",BT45 8QE
DFI,Department for Infrastructure,28/07/2026,P - Contract Other Services,DRIVER & VEHICLE STANDARDS AGENCY,9322935632,"£143,930.40",SA7 0EA
DFI,Department for Infrastructure,28/07/2026,C - Contract Other Services,KEENAN P (CONTRACTOR),1087-SSW-2016,"£81,787.78",BT45 8QE
DFI,Department for Infrastructure,28/07/2026,C - Contract Other Services,KEENAN P (CONTRACTOR),134-SSN1-2023,"£67,136.89",BT45 8QE
DFI,Department for Infrastructure,28/07/2026,P - Contract Minor Maintenance,WHITEMOUNTAIN QUARRIES LTD,26891,"£60,954.24",BT36 4TZ
DFI,Department for Infrastructure,28/07/2026,P - Contract Roads,PETER FITZPATRICK LTD,6240,"£50,373.16",BT34 5TJ
DFI,Department for Infrastructure,28/07/2026,P - Contract Roads,GREENTOWN ENVIRONMENTAL LTD,14493,"£46,401.60",BT92 1DE
DFI,Department for Infrastructure,28/07/2026,P - Contract Other Services,DRIVER & VEHICLE STANDARDS AGENCY,9322937084,"£43,928.52",SA7 0EA
DFI,Department for Infrastructure,28/07/2026,P - Contract Roads,PETER FITZPATRICK LTD,6237,"£31,508.63",BT34 5TJ
DFI,Department for Infrastructure,28/07/2026,P - Contract Roads,PETER FITZPATRICK LTD,6282,"£31,145.80",BT34 5TJ
DFI,Department for Infrastructure,28/07/2026,P - Contract Roads,PETER FITZPATRICK LTD,6239,"£30,105.71",BT34 5TJ
DFI,Department for Infrastructure,28/07/2026,P - Contract Roads,PETER FITZPATRICK LTD,6281,"£27,522.25",BT34 5TJ
DFI,Department for Infrastructure,28/07/2026,"Other Creditor (Non-Imprest Deposits, holding deposits, and damage deposits)",DCD 19 LIMITED,EF06245257,"£23,800.00",BT71 7SG
DFI,Department for Infrastructure,28/07/2026,C - Contract Other Services,PETER FITZPATRICK LTD,6240,"£8,391.37",BT34 5TJ
DFI,Department for Infrastructure,28/07/2026,P - Interest - Other,DCD 19 LIMITED,EF06245257,"£2,186.01",BT71 7SG
DFI,Department for Infrastructure,29/07/2026,Cost Pass-Through Control,POWER NI,7980499,"£810,141.36",BT9 5NF
DFI,Department for Infrastructure,29/07/2026,Grants to Public Corporations(PCs) (Capital),TRANSLINK*GRANTEE,ERS-DFI-EF00573782-ERS-1205,"£519,863.00",BT2 7LX
DFI,Department for Infrastructure,29/07/2026,Grants to Public Corporations(PCs) (Capital),TRANSLINK*GRANTEE,ERS-DFI-EF00573782-ERS-1204,"£430,038.00",BT2 7LX
DFI,Department for Infrastructure,29/07/2026,Cost Pass-Through Control,AMEY OW LTD,90990889,"£401,540.87",L19 2PH
DFI,DVA,29/07/2026,P - Contracted Out Testing Services,DRIVER & VEHICLE STANDARDS AGENCY,9323030090,"£249,565.66",SA7 0EA
DFI,Department for Infrastructure,29/07/2026,Cost Pass-Through Control,LAGAN SPECIALIST UTILITIES LTD,27030014,"£235,732.57",BT3 9HA
DFI,Department for Infrastructure,29/07/2026,Cost Pass-Through Control,COLAS (NI),39006,"£220,547.35",BT24 8AE
DFI,Department for Infrastructure,29/07/2026,Cost Pass-Through Control,LAGAN SPECIALIST UTILITIES LTD,27030015,"£212,379.90",BT3 9HA
DFI,Department for Infrastructure,29/07/2026,Grants to Public Corporations(PCs) (Capital),TRANSLINK*GRANTEE,ERS-DFI-EF00573784-ERS-978,"£186,250.00",BT2 7LX
DFI,Department for Infrastructure,29/07/2026,Cost Pass-Through Control,FP MCCANN LTD,67229,"£166,066.55",BT45 8QA
DFI,Department for Infrastructure,29/07/2026,C - Managed Services,AECOM LIMITED,28628416,"£67,993.42",AL1 3JX
DFI,Department for Infrastructure,29/07/2026,Cost Pass-Through Control,LAGAN SPECIALIST UTILITIES LTD,27030013,"£63,252.79",BT3 9HA
DFI,Department for Infrastructure,29/07/2026,"Other Creditor (Non-Imprest Deposits, holding deposits, and damage deposits)",CASTLELODGE HOMES LTD,EF06245286,"£52,760.00",BT45 6ED
DFI,Department for Infrastructure,29/07/2026,C - Contract Other Services,LAGAN SPECIALIST UTILITIES LTD,27040004,"£45,344.60",BT3 9HA
DFI,Department for Infrastructure,29/07/2026,C - Bitumen / Emulsion,PETER FITZPATRICK LTD,6278,"£43,526.04",BT34 5TJ
DFI,Department for Infrastructure,29/07/2026,C - Bitumen / Emulsion,PETER FITZPATRICK LTD,6277,"£34,806.44",BT34 5TJ
DFI,Department for Infrastructure,29/07/2026,C - Bitumen / Emulsion,PETER FITZPATRICK LTD,6279,"£28,188.95",BT34 5TJ
DFI,DVA,29/07/2026,P - Medical Fees,DISABILITY ACTION,DA020764,"£28,050.00",BT3 9ED
DFI,Department for Infrastructure,29/07/2026,C - Contract Other Services,COLAS (NI),38927-RS,"£26,677.98",BT24 8AE
DFI,Department for Infrastructure,29/07/2026,C - Dry Stone,PETER FITZPATRICK LTD,6256,"£26,482.91",BT34 5TJ
DFI,Department for Infrastructure,29/07/2026,P - Contract Roads,COLAS (NI),38927-RS,"£4,252.40",BT24 8AE
DFI,Department for Infrastructure,29/07/2026,P - Interest - Other,CASTLELODGE HOMES LTD,EF06245286,"£3,692.75",BT45 6ED
DFI,Department for Infrastructure,30/07/2026,C - Contract Other Services,WHITEMOUNTAIN QUARRIES LTD,26901,"£417,064.54",BT36 4TZ
DFI,Department for Infrastructure,30/07/2026,C - Managed Services,JACOBS UK LIMITED,DFI00001-12,"£222,726.94",BT1 4PB
DFI,DVA,30/07/2026,P - Software Maintenance - Contract,FUJITSU SERVICES LTD,1030052003,"£181,418.74",WA3 6GD
DFI,Department for Infrastructure,30/07/2026,Cost Pass-Through Control,JOHN MCQUILLAN CONTRACTS LTD,CE-JOB26686-005,"£102,891.78",BT28 2SA
DFI,Department for Infrastructure,30/07/2026,C - Contract Other Services,NORTHSTONE MATERIALS LIMITED,IE260201,"£93,126.34",BT17 9NU
DFI,Department for Infrastructure,30/07/2026,P - Contract Roads,JOHN MCQUILLAN CONTRACTS LTD,JMQ-SI00181,"£92,339.92",BT28 2SA
DFI,Department for Infrastructure,30/07/2026,C - Contract Other Services,FOX BUILDING & CIVIL ENGINEERING LTD,SIN006124,"£84,258.17",BT79 9PU
DFI,Department for Infrastructure,30/07/2026,P - Contract Roads,BRIDGEPOINT ROAD MARKING,17434,"£64,617.89",BT34 3QQ
DFI,Department for Infrastructure,30/07/2026,C - Managed Services,AECOM LIMITED,28629293,"£51,134.51",AL1 3JX
DFI,Department for Infrastructure,30/07/2026,Fixed Asset Clearing Account,JACOBS UK LIMITED,B24505AL-011,"£47,835.59",BT1 4PB
DFI,Department for Infrastructure,30/07/2026,P - Contract Roads,WHITEMOUNTAIN QUARRIES LTD,26902,"£46,164.83",BT36 4TZ
